"date","close","volume","open","high","low"
"2015/05/15","109.9400","1862709.0000","109.8800","109.9900","109.6000"
"2015/05/14","109.8100","1579229.0000","109.3300","109.8500","109.1000"
"2015/05/13","108.7300","2424476.0000","108.9700","109.3000","108.5800"
"2015/05/12","108.6700","1657497.0000","108.4800","109.0050","107.9300"
"2015/05/11","108.9900","1656946.0000","109.3300","109.5900","108.9300"
"2015/05/08","109.4500","1796447.0000","109.1100","109.5900","109.0800"
"2015/05/07","108.0900","2363484.0000","107.6000","108.3650","107.3800"
"2015/05/06","107.6800","3691644.0000","108.3800","108.5400","107.0100"
"2015/05/05","107.9800","1692723.0000","109.1700","109.3600","107.8800"
"2015/05/04","109.2800","1712992.0000","109.2400","109.6600","109.1200"
"2015/05/01","108.9000","3924560.0000","108.4000","108.9800","108.2300"
"2015/04/30","107.9100","3635816.0000","108.7800","108.9205","107.4654"
"2015/04/29","109.0900","2432005.0000","109.0100","109.4600","108.6300"
"2015/04/28","109.5700","2594976.0000","109.5400","109.6543","108.4950"
"2015/04/27","109.2800","1827746.0000","110.1900","110.2800","109.1700"
